id,est,nord,lat,lon,codicechiave,id_tipologia,tipologia,id_categoria,categoria_prevalente,denominazione,indirizzo,localita,comune,provincia,numero_sedi
"5001","1612472","4842033","43.722648  ","10.396000  ","050026EC001","3","Monumento o complesso monumentale","1","Arte","BATTISTERO DI PISA","Piazza del Duomo ","","Pisa","PI","1"
"5004","1612472","4842033","43.722648  ","10.396000  ","050026EC005","3","Monumento o complesso monumentale","1","Arte","CAMPOSANTO MONUMENTALE","Piazza del Duomo ","","Pisa","PI","1"
"5986","1664936","4823647","43.547405  ","11.041373  ","048012ST001","1","Museo","3","Storia","CASA DEL BOCCACCIO","Via Boccaccio ","","Certaldo","FI","1"
"4010","1680572","4822717","43.535422  ","11.234480  ","048045EP001","1","Museo","6","Etnografia e antropologia","MUSEO EMILIO FERRARI DI CULTURA CONTADINA","Via del Giglio 47","San Donato in Poggio","Tavarnelle Val di Pesa","FI","1"
"4118","1722374","4729044","42.681620  ","11.713812  ","053026NW001","2","Siti archeologici","2","Archeologia","PARCO ARCHEOLOGICO CITTA' DEL TUFO","Piazza del Municipio 15","Sorano","Sorano","GR","4"
"4120","1624577","4753246","","","049012PV001","1","Museo","2","Archeologia","MUSEO ETRUSCO 'GASPARRI'","Via di Sotto 8","Populonia Castello","Piombino","LI","1"
"4303","1673884","4817282","43.488111  ","11.150027  ","048003EC001","1","Museo","2","Archeologia","ANTIQUARIUM DI SANT'APPIANO","Località S. Appiano 1","","Barberino Val d'Elsa","FI","1"
"4304","1680673","4822949","43.537487  ","11.235814  ","048045EC001","1","Museo","1","Arte","MUSEO VICARIALE DI ARTE SACRA DI TAVARNELLE VAL DI PESA","Via della Pieve 19","Pieve di S. Pietro in Bossolo","Tavarnelle Val di Pesa","FI","1"
"4305","1676180","4836140","43.657245  ","11.184533  ","048038MA001","1","Museo","1","Arte","MUSEO DI SAN CASCIANO","Via Lucardesi 6","","San Casciano Val di Pesa","FI","1"
"4309","1686956","4828197","43.583158  ","11.315322  ","048021MA001","1","Museo","1","Arte","MUSEO D'ARTE SACRA DI S. FRANCESCO","Via San Francesco 4","","Greve in Chianti","FI","1"
"4310","1681780","4839381","43.685055  ","11.255016  ","048022EC001","1","Museo","1","Arte","MUSEO D'ARTE SACRA SANTA MARIA IMPRUNETA","Piazza Buondelmonti 28","","Impruneta","FI","1"
"4323","1662595","4853502","43.816564  ","11.021420  ","100002EP002","3","Monumento o complesso monumentale","1","Arte","PARCO MUSEO QUINTO MARTINI","Via Pistoiese ","Seano","Carmignano","PO","1"
"4363","1683719","4850586","43.785389  ","11.282879  ","048017NW007","1","Museo","4","Storia e scienze naturali","MUSEO AGRARIO TROPICALE DELL'ISTITUTO AGRONOMICO PEROLTREMARE","Via Antonio Cocchi 4","","Firenze","FI","1"
"4365","1655054","4850096","43.787537  ","10.926722  ","048050PV001","1","Museo","5","Scienza e tecnica","MUSEO IDEALE LEONARDO DA VINCI","Via Montalbano 2","","Vinci","FI","2"
"4369","1753475","4828926","43.570073  ","12.138503  ","051034NW001","1","Museo","1","Arte","MUSEO DELLA CHIESA DI SAN LORENZO","Via Santa Croce 3","","Sansepolcro","AR","1"
"4376","1624582","4753202","42.921141  ","10.526156  ","049012NW001","1","Museo","4","Storia e scienze naturali","ISTITUTO DI BIOLOGIA ED ECOLOGIA MARINA DI PIOMBINO","Piazza Bovio 3/4","","Piombino","LI","1"
"4435","1640570","4840050","43.700020  ","10.744174  ","050009NW002","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO DI CASTELFRANCO DI SOTTO","Viale Galileo Galilei 37","","Castelfranco di Sotto","PI","1"
"4458","1683445","4847348","43.756319  ","11.278377  ","048017PV015","5","Centri scientifici-culturali","3","Storia","FONDAZIONE DI STUDI DI STORIA DELL'ARTE ROBERTO LONGHI","Via Benedetto Fortini 30","","Firenze","FI","1"
"4470","1684023","4853329","43.809987  ","11.287604  ","048015EC001","1","Museo","1","Arte","MUSEO 'BANDINI'","Via Dupré 1","","Fiesole","FI","1"
"4480","1719620","4805005","43.365663  ","11.710135  ","051016XX4129","1","Museo","6","Etnografia e antropologia","MUSEO DELLA VITE E DEL VINO DI CIGGIANO","Piazza Alta ","Ciggiano","Civitella in Val di Chiana","AR","1"
"4483","1707484","4822265","43.524366  ","11.567074  ","051026PV001","1","Museo","4","Storia e scienze naturali","MUSEO PALEONTOLOGICO DI MONTEVARCHI","Via Poggio Bracciolini 36-40","","Montevarchi","AR","1"
"6086","1753620","4829169","","","051034XX4189","1","Museo","2","Archeologia","CENTRO STUDI SUL QUATERNARIO ONLUS","Via Nuova dell'Ammazzatoio 7","","Sansepolcro","AR","1"
"4494","1691490","4728882","42.688463  ","11.337141  ","053023EP001","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO E DELLA VITE E DEL VINO DI SCANSANO","Piazza Pretorio ","","Scansano","GR","1"
"4500","1656917","4842729","43.720854  ","10.947704  ","048014XX3805","1","Museo","8","Specializzato","MuVe - MUSEO DEL VETRO DI EMPOLI","Via Ridolfi 70","","Empoli","FI","1"
"4505","1681030","4848389","43.766283  ","11.248755  ","048017NW001","1","Museo","8","Specializzato","ART ATHLETIC CENTER, MUSEO STORICO DEGLI ATTREZZI SPORTIVI WALTER RONTANI","Via Maggio 39","","Firenze","FI","1"
"4506","1682163","4848711","43.768904  ","11.262923  ","048017XX4131","3","Monumento o complesso monumentale","3","Storia","CASA STUDIO DI PIERO BARGELLINI","Via delle Pinzochere 3","","Firenze","FI","1"
"4513","1682410","4850225","43.782463  ","11.266510  ","048017EP010","1","Museo","1","Arte","GALLERIA RINALDO CARNIELO","Piazza Savonarola 3","","Firenze","FI","1"
"4522","1681922","4849625","43.777182  ","11.260247  ","048017NW009","1","Museo","5","Scienza e tecnica","MUSEO STRUMENTI DELL'ISTITUTO GEOGRAFICO MILITARE","Via Cesare Battisti 10","","Firenze","FI","1"
"4529","1681951","4848597","43.767928  ","11.260252  ","048017XX4357","1","Museo","1","Arte","CASA GIORGIO VASARI A FIRENZE ","Borgo Santa Croce 8","","Firenze","FI","1"
"4530","1680923","4849254","43.774087  ","11.247710  ","048017XX3807","1","Museo","8","Specializzato","MUSEO DELL'OFFICINA PROFUMO - FARMACEUTICA DI SANTA MARIA NOVELLA","Via della Scala 16","","Firenze","FI","1"
"4532","1686419","4851773","43.795392  ","11.316829  ","048015XX3871","3","Monumento o complesso monumentale","1","Arte","VILLA PEYRON AL BOSCO DI FONTE LUCENTE ","Via di Vincigliata 2","","Fiesole","FI","1"
"4534","1667250","4832965","43.630735  ","11.072880  ","048030EC001","1","Museo","1","Arte","MUSEO D'ARTE SACRA DI MONTESPERTOLI","Via di San Piero in Mercato 233","","Montespertoli","FI","1"
"4535","1645592","4843469","43.729817  ","10.807386  ","048019XX4127","5","Centri scientifici-culturali","3","Storia","FONDAZIONE MONTANELLI BASSI","Via Guglielmo San Giorgio 2","","Fucecchio","FI","1"
"4545","1653873","4866305","43.933632  ","10.916717  ","047014EP006","1","Museo","1","Arte","MUSEO CIVICO DI PISTOIA","Piazza del Duomo 1","","Pistoia","PT","1"
"4550","1651216","4752244","42.907709  ","10.852081  ","053024EP001","1","Museo","2","Archeologia","CENTRO DOCUMENTAZIONE DEL TERRITORIO RICCARDO FRANCOVICH","Via della Rocca ","","Scarlino","GR","1"
"4551","1645440","4751641","42.903402  ","10.781194  ","053024XX3869","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO DEL PORTUS SCABRIS ","Via delle Collacchie 1","Puntone","Scarlino","GR","1"
"4556","1630991","4780028","43.161536  ","10.610955  ","049006PV002","5","Centri scientifici-culturali","3","Storia","CENTRO DI VALORIZZAZIONE CASA CARDUCCI","Via Carducci 59","","Castagneto Carducci","LI","1"
"4557","1630936","4779944","43.160786  ","10.610254  ","049006EP001","1","Museo","3","Storia","MUSEO ARCHIVIO GIOSUE' CARDUCCI","Via G. Carducci 1","","Castagneto Carducci","LI","1"
"4580","1608769","4740805","42.811953  ","10.330056  ","049014EP003","1","Museo","2","Archeologia","MUSEO CIVICO ARCHEOLOGICO DELLA LINGUELLA","Calata Buccari ","","Portoferraio","LI","1"
"4583","1608905","4741246","42.815907  ","10.331802  ","049014EP001","1","Museo","1","Arte","PINACOTECA COMUNALE FORESIANA","Salita Napoleone ","","Portoferraio","LI","1"
"4584","1619461","4806820","43.404610  ","10.474991  ","049017EP001","1","Museo","2","Archeologia","MUSEO CIVICO ARCHEOLOGICO PALAZZO BOMBARDIERI","Via del Castello 24","","Rosignano Marittimo","LI","1"
"4589","1614065","4806456","43.402173  ","10.408296  ","049017XX4308","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO NAZIONALE DI CASTIGLIONCELLO","Via Del Museo 8","Castiglioncello","Rosignano Marittimo","LI","1"
"4590","1616045","4805123","43.389868  ","10.432452  ","049017NW001","1","Museo","4","Storia e scienze naturali","MUSEO DI SCIENZE NATURALI","Via Monte alla Rena 41/43","Rosignano Solvay","Rosignano Marittimo","LI","1"
"4597","1621064","4855366","43.841307  ","10.505641  ","046017EC002","1","Museo","1","Arte","MUSEO DELLA CATTEDRALE ","Piazza Antelminelli ","","Lucca","LU","1"
"4598","1620955","4855358","43.841252  ","10.504284  ","046017EC003","3","Monumento o complesso monumentale","2","Archeologia","BATTISTERO E CHIESA DEI SS. GIOVANNI E REPARATA","Piazza San Giovanni ","","Lucca","LU","1"
"4599","1620982","4855293","43.840664  ","10.504613  ","046017EC001","3","Monumento o complesso monumentale","1","Arte","SACRESTIA DEL DUOMO E MONUMENTO DI ILARIA DEL CARRETTO","Piazza San Martino ","","Lucca","LU","1"
"4601","1620580","4855336","43.841114  ","10.499615  ","046017EP002","1","Museo","8","Specializzato","MUSEO ITALIANO DEL FUMETTO E DELL'IMMAGINE DI LUCCA","Piazza San Romano 4","","Lucca","LU","1"
"4603","1609573","4856508","43.853375  ","10.362976  ","046018EP001","2","Siti archeologici","2","Archeologia","PADIGLIONE ESPOSITIVO ""GUGLIELMO LERA"" - AREA ARCHEOLOGICA ""MASSACIUCCOLI ROMANA""","Via Pietra a Padule ","Massaciuccoli","Massarosa","LU","1"
"4607","1688247","4846081","43.743716  ","11.337534  ","048001EP001","3","Monumento o complesso monumentale","1","Arte","ORATORIO DI SANTA CATERINA DELLE RUOTE","Via del Carota ","Ponte a Ema","Bagno a Ripoli","FI","1"
"4609","1699737","4832206","43.615906  ","11.474963  ","048016EP001","1","Museo","8","Specializzato","ANTICA SPEZIERIA SPEDALE SERRISTORI","Piazza XXV Aprile ","","Figline Valdarno","FI","1"
"4610","1699513","4832392","43.617633  ","11.472255  ","048016EC002","1","Museo","1","Arte","RACCOLTA D'ARTE SACRA DELLA COLLEGIATA DI SANTA MARIA ASSUNTA","Piazza Marsilio Ficino 43","","Figline Valdarno","FI","1"
"4614","1613381","4868965","","","046022PV003","1","Museo","6","Etnografia e antropologia","MOLINO DI MENICONE","Località Menicone  2","S. Martino in Freddana","Pescaglia","LU","1"
"4618","1630325","4855099","43.837324  ","10.620739  ","046026EP001","1","Museo","2","Archeologia","MOSTRA DIDATTICA ARCHEOLOGICA","Via Roma 121","","Porcari","LU","1"
"4621","1599858","4858419","43.871956  ","10.242498  ","046033XX4295","6","Centro espositivo","1","Arte","CENTRO MATTEUCCI PER L'ARTE MODERNA","Via Gabriele D'Annunzio 28","","Viareggio","LU","1"
"4628","1589673","4898810","44.236838  ","10.122597  ","045007EP001","1","Museo","1","Arte","RACCOLTA D'ARTE SACRA DELL'EX CONVENTO DEGLI AGOSTINIANI","Via Umberto I 20","","Fivizzano","MS","1"
"4631","1591554","4876512","44.035893  ","10.142275  ","045010EC001","1","Museo","1","Arte","MUSEO DIOCESANO DI MASSA","Via Alberica 26","","Massa","MS","1"
"4634","1699443","4832533","43.618927  ","11.471444  ","048016XX3872","1","Museo","1","Arte","FONDAZIONE GIOVANNI PRATESI ","Piazza Marsilio Ficino ","","Figline Valdarno","FI","1"
"4639","1701858","4779246","43.138919  ","11.481712  ","052003NW001","1","Museo","1","Arte","LA MISERICORDIA PATRIMONIO E TESTIMONIANZE","Via Soccini 15/19","","Buonconvento","SI","1"
"4644","1633664","4848696","43.779108  ","10.660658  ","050009NW001","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO DI ORENTANO","Via Martiri della Libertà ","Orentano","Castelfranco di Sotto","PI","1"
"4650","1640706","4829229","43.602605  ","10.743035  ","050024PV001","1","Museo","6","Etnografia e antropologia","MUSEO DEL LAVORO E DELLA CIVILTA' RURALE","Via Palaiese ","San Gervasio","Palaia","PI","1"
"4651","1641752","4826439","43.577301  ","10.755259  ","050024NW001","1","Museo","6","Etnografia e antropologia","MUSEO DELLA CIVILTA' CONTADINA DI MONTEFOSCOLI","Via A. Vacca 45","Montefoscoli","Palaia","PI","1"
"4653","1650819","4867819","43.947893  ","10.879117  ","047014MA002","1","Museo","1","Arte","FONDAZIONE PISTOIESE JORIO VIVARELLI","Via di Felceti 11","Arcigliano","Pistoia","PT","1"
"4662","1612892","4841243","","","050026EP002","2","Siti archeologici","2","Archeologia","CANTIERE DELLE NAVI ANTICHE DI PISA","Via Ranuccio Bianchi Bandinelli ","","Pisa","PI","1"
"4663","1612568","4841721","43.719828  ","10.397125  ","050026US008","1","Museo","4","Storia e scienze naturali","MUSEO BOTANICO E ORTO BOTANICO DELL'UNIVERSITA' DI PISA","Via Luca Ghini 5","","Pisa","PI","1"
"4664","1671727","4809950","43.422631  ","11.121068  ","052012EP001","1","Museo","1","Arte","MUSEO CIVICO E DIOCESANO DI ARTE SACRA DI COLLE VAL D'ELSA","Via del Castello 33","","Colle Val d'Elsa","SI","1"
"4665","1652033","4795698","43.298628  ","10.873970  ","050027NW001","1","Museo","2","Archeologia","MUSEO GUERRIERI E ARTIGIANI","Via Roncalli 14","","Pomarance","PI","1"
"6091","1668559","4860934","43.882097  ","11.097872  ","100005EC003","1","Museo","1","Arte","MUSEO DELL'OPERA DEL DUOMO","Piazza del Duomo 49","","Prato","PO","1"
"4669","1649175","4837963","43.679553  ","10.850326  ","050032PV003","1","Museo","1","Arte","COLLEZIONE DELL'ARCICONFRATERNITA DELLA MISERICORDIA","Via Augusto Conti 40-42","","San Miniato","PI","1"
"4670","1649977","4838093","43.680567  ","10.860308  ","050032PV002","1","Museo","3","Storia","MUSEO ACCADEMIA DEGLI EUTELETI","Via XX Settembre 21","","San Miniato","PI","1"
"4671","1651738","4882321","44.078192  ","10.894720  ","047014PV002","4","Ecomusei","6","Etnografia e antropologia","ECOMUSEO DELLA MONTAGNA PISTOIESE - ITINERARIO DELLA VITA QUOTIDIANA. MOLINO DI GIAMBA E DI BERTO E LA VIA DEL CARBONE","Via di Paoluccio Orsigna 1","Orsigna","Pistoia","PT","1"
"4677","1668363","4860709","43.880120  ","11.095364  ","100005NW001","1","Museo","1","Arte","MUSEO CASA FRANCESCO DATINI","Via Ser Lapo Mazzei 43","","Prato","PO","1"
"4678","1697215","4837255","43.661995  ","11.445577  ","048023EP001","1","Museo","1","Arte","MUSEO DI ARTE SACRA DI INCISA IN VAL D'ARNO","Via Castellana ","","Incisa in Val d'Arno","FI","1"
"6082","1672315","4878854","44.042458  ","11.150397  ","100007NW001","1","Museo","8","Specializzato","MUMAT - MUSEO DELLE MACCHINE TESSILI","Via della Posta Vecchia ","Mercatale","Vernio","PO","1"
"4680","1650899","4853758","","","047006XX4385","1","Museo","6","Etnografia e antropologia","MUSEO DELLA CIVILTA' CONTADINA CASA DEI ","Via Traversa di Brugnana 1","","Larciano","PT","1"
"4682","1635603","4862377","43.901879  ","10.688202  ","047012NW002","3","Monumento o complesso monumentale","1","Arte","STORICO GIARDINO GARZONI E VILLA GARZONI","Piazza della Vittoria 1","Collodi","Pescia","PT","1"
"4685","1746967","4825435","43.540867  ","12.056441  ","051001EP001","1","Museo","3","Storia","PALAZZO DELLA BATTAGLIA - MUSEO DELLE MEMORIE E DEL PAESAGGIO NELLA TERRA DI ANGHIARI","Piazza Mameli 1 e 2","","Anghiari","AR","1"
"4686","1635521","4861990","43.898406  ","10.687090  ","047012EP001","1","Museo","4","Storia e scienze naturali","MUSEO CIVICO DI SCIENZE NATURALI E ARCHEOLOGIA DELLA VALDINIEVOLE","Piazza Leonardo da Vinci ","","Pescia","PT","1"
"4688","1633179","4860878","43.888827  ","10.657656  ","047012PV001","3","Monumento o complesso monumentale","8","Specializzato","PARCO MONUMENTALE DI PINOCCHIO","Via S. Gennaro 3","Collodi","Pescia","PT","1"
